Substance Name,Identity
Lead bis(tetrafluoroborate),00091
Lead dinitrate,00092
"Silicic acid, lead salt",00093
4-Aminoazobenzene,00094
Lead titanium zirconium oxide,00095
Lead monoxide (lead oxide),00096
o-Toluidine,00097
"3-ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine",00098
"Silicic acid (H2Si2O5), barium salt (1:1), lead-doped [with lead (Pb) content above the applicable generic concentration limit for 'toxicity for reproduction' Repr. 1A (CLP) or category 1 (DSD); the substance is a member of the group entry of lead compounds, with index number 082-001-00-6 in Regulation (EC) No 1272/2008]",00099
Trilead bis(carbonate)dihydroxide,00100
Furan,00101
"N,N-dimethylformamide",00102
"4-(1,1,3,3-tetramethylbutyl)phenol, ethoxylated [covering well-defined substances and UVCB substances, polymers and homologues]",00103
"4-Nonylphenol, branched and linear [substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof]",00104
"4,4'-methylenedi-o-toluidine",00105
Diethyl sulphate,00106
Dimethyl sulphate,00107
Lead oxide sulfate,00108
Lead titanium trioxide,00109
"Acetic acid, lead salt, basic",00110
[Phthalato(2-)]dioxotrilead,00111
Bis(pentabromophenyl) ether (decabromodiphenyl ether; DecaBDE),00112
N-methylacetamide,00113
"Dinoseb (6-sec-butyl-2,4-dinitrophenol)",00114
"1,2-Diethoxyethane",00115
Tetralead trioxide sulphate,00116
N-pentyl-isopentylphthalate,00117
Dioxobis(stearato)trilead,00118
Tetraethyllead,00119
Pentalead tetraoxide sulphate,00120
Pentacosafluorotridecanoic acid,00121
Tricosafluorododecanoic acid,00122
Heptacosafluorotetradecanoic acid,00123
1-bromopropane (n-propyl bromide),00124
Methoxyacetic acid,00125
"4-methyl-m-phenylenediamine (toluene-2,4-diamine)",00126
Methyloxirane (Propylene oxide),00127
Trilead dioxide phosphonate,00128
o-aminoazotoluene,00129
"1,2-Benzenedicarboxylic acid, dipentylester, branched and linear",00130
"4,4'-oxydianiline and its salts",00131
Orange lead (lead tetroxide),00132
Biphenyl-4-ylamine,00133
Diisopentylphthalate,00134
"Fatty acids, C16-18, lead salts",00135
"Diazene-1,2-dicarboxamide (C,C'-azodi(formamide))",00136
"Sulfurous acid, lead salt, dibasic",00137
Lead cyanamidate,00138
Cadmium,00139
Cadmium oxide,00140
Pentadecafluorooctanoic acid (PFOA),00141
Ammonium pentadecafluorooctanoate (APFO),00142
Dipentyl phthalate (DPP),00143
"4-Nonylphenol, branched and linear, ethoxylated [substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, ethoxylated covering UVCB- and well-defined substances, polymers and homologues, which include any of the individual isomers and/or combinations thereof]",00144
"Disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo] -5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate (C.I. Direct Black 38)",00145
Trixylyl phosphate,00146
"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate) (C.I. Direct Red 28)",00147
Dihexyl phthalate,00148
Imidazolidine-2-thione; (2-imidazoline-2-thiol),00149
Cadmium sulphide,00150
Lead di(acetate),00151
"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",00152
Cadmium chloride,00153
"Sodium perborate; perboric acid, sodium salt",00154
Sodium peroxometaborate,00155
"2-Benzotriazol-2-yl-4,6-di-tert-butylphenol (UV-320)",00156
"2-(2H-Benzotriazol-2-yl)-4,6-ditertpentylphenol (UV-328)",00157
"2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (DOTE)",00158
"Reaction mass of 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate and 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (reaction mass of DOTE and MOTE)",00159
Cadmium fluoride,00160
Cadmium sulphate,00161
"1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters; 1,2-benzenedicarboxylic acid, mixed decyl and hexyl and octyl diesters with greater than or equal to 0.3% of dihexyl phthalate (EC No. 201-559-5)",00162
"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [1], 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [2] [covering any of the individual stereoisomers of [1] and [2] or any combination thereof]",00163
Perfluorononan-1-oic-acid and its sodium and ammonium salts,00164
"1,3-propanesultone",00165
"2,4-di-tert-butyl-6-(5-chlorobenzotriazol-2-yl)phenol (UV-327)",00166
2-(2H-benzotriazol-2-yl)-4-(tert-butyl)-6-(sec-butyl)phenol (UV-350),00167
Nitrobenzene,00168
Benzo[def]chrysene,00169
"4,4'-isopropylidenediphenol [Bisphenol A; BPA]",00170
Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts,00171
"p-(1,1-dimethylpropyl)phenol",00172
"4-heptylphenol, branched and linear [substances with a linear and/or branched alkyl chain with a carbon number of 7 covalently bound predominantly in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof]",00173
Perfluorohexane-1-sulphonic acid and its salts [PFHxS],00174
Benz[a]anthracene,00175
Cadmium carbonate,00176
Cadmium hydroxide,00177
Cadmium nitrate,00178
Chrysene,00179
"1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene (""Dechlorane Plus""TM) [covering any of its individual anti- and syn-isomers or any combination thereof]",00180
"Reaction products of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and 4-heptylphenol, branched and linear (RP-HP)[with greater than or equal to 0.1% w/w 4-heptylphenol, branched and linear (4-HPbl)]",00181
Benzo[ghi]perylene,00182
Octamethylcyclotetrasiloxane [D4],00183
Decamethylcyclopentasiloxane [D5],00184
Dodecamethylcyclohexasiloxane [D6],00185
"Terphenyl, hydrogenated",00186
Disodium octaborate,00187
Lead,00188
Dicyclohexyl phthalate [DCHP],00189
Ethylenediamine [EDA],00190
"Benzene-1,2,4-tricarboxylic acid 1,2 anhydride [trimellitic anhydride; TMA]",00191
Benzo[k]fluoranthene,00192
Fluoranthene,00193
Phenanthrene,00194
Pyrene,00195
"2,2-bis(4'-hydroxyphenyl)-4-methylpentane",00196
"1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one [3-benzylidene camphor; 3-BC]",00197
"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP) with greater than or equal to 0.1% w/w of 4-nonylphenol, branched and linear (4-NP)",00198
"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid, its salts and its acyl halides [covering any of their individual isomers and combinations thereof]",00199
2-methoxyethyl acetate,00200
4-tert-butylphenol,00201
Diisohexyl phthalate,00202
Perfluorobutane sulfonic acid (PFBS) and its salts,00203
2-benzyl-2-dimethylamino-4'-morpholinobutyrophenone,00204
2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one,00205
"Dibutylbis(pentane-2,4-dionato-O,O')tin",00206
butyl 4-hydroxybenzoate,00207
2-methylimidazole,00208
1-vinylimidazole,00209
"Dioctyltin dilaurate, stannane, dioctyl-, bis(coco acyloxy) derivs., and any other stannane, dioctyl-, bis(fatty acyloxy) derivs. wherein C12 is the predominant carbon number of the fatty acyloxy moiety",00210
Bis(2-(2-methoxyethoxy)ethyl)ether,00211
"4,4'-(1-methylpropylidene)bisphenol",00212
Medium-chain chlorinated paraffins (MCCP) [UVCB substances consisting of more than or equal to 80% linear chloroalkanes with carbon chain lengths within the range from C14 to C17],00213
"Orthoboric acid, sodium salt",00214
"Phenol, alkylation products (mainly in para position) with C12-rich branched alkyl chains from oligomerisation, covering any individual isomers and/ or combinations thereof (PDDP)",00215
"1,4-dioxane",00216
"2,2-bis(bromomethyl)propane-1,3-diol (BMP) 2,2-dimethylpropan-1-ol, tribromo derivative/3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA) 2,3-dibromo-1-propanol (2,3-DBPA)",00217
2-(4-tert-butylbenzyl)propionaldehyde and its individual stereoisomers,00218
Glutaral,00219
"6,6'-di-tert-butyl-2,2'-methylenedi-p-cresol",00220
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one covering any of the individual isomers and/or combinations thereof (4-MBC)",00221
"S-(tricyclo(5.2.1.02,6)deca-3-en-8(or 9)-yl O-(isopropyl or isobutyl or 2-ethylhexyl) O-(isopropyl or isobutyl or 2-ethylhexyl) phosphorodithioate",00222
tris(2-methoxyethoxy)vinylsilane,00223
N-(hydroxymethyl)acrylamide,00224
"1,1'-[ethane-1,2-diylbisoxy]bis[2,4,6-tribromobenzene]",00225
"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol",00226
"4,4'-sulphonyldiphenol",00227
Barium diboron tetraoxide,00228
Bis(2-ethylhexyl) tetrabromophthalate covering any of the individual isomers and/or combinations thereof,00229
Isobutyl 4-hydroxybenzoate,00230
Melamine,00231
Perfluoroheptanoic acid and its salts,00232
"reaction mass of 2,2,3,3,5,5,6,6-octafluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)morpholine and 2,2,3,3,5,5,6,6-octafluoro-4-(heptafluoropropyl)morpholine",00233
"Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide",00234
Bis(4-chlorophenyl) sulphone,00235
"2,4,6-tri-tert-butylphenol",00236
"2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol",00237
2-(dimethylamino)-2-[(4-methylphenyl)methyl]-1-[4-(morpholin-4-yl)phenyl]butan-1-one,00238
Bumetrizole,00239
Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol,00240
"Bis(α,α-dimethylbenzyl) peroxide",00241
